,Memory usage,Bloomed Splash height=5,Bloomed Splash height=6,Bloomed Splash height=7,Bloomed Splash height=8,SuRF Real,FST
0,24162,0.924456,,,,,
1,39848,0.828587,,,,,
2,55533,0.72202,,,,,
3,71220,0.629675,,,,,
4,86906,0.557322,,,,,
5,102592,0.498377,,,,,
6,118285,0.448434,,,,,
7,133964,0.405319,,,,,
8,149650,0.375344,,,,,
9,165335,0.343462,,,,,
0,39025,,0.888591,,,,
1,55447,,0.78111,,,,
2,71868,,0.668318,,,,
3,88291,,0.577167,,,,
4,104713,,0.504758,,,,
5,121136,,0.444887,,,,
6,137557,,0.401671,,,,
7,153980,,0.363631,,,,
8,170403,,0.32973,,,,
9,186826,,0.302388,,,,
0,66874,,,0.828475,,,
1,84222,,,0.71063,,,
2,101569,,,0.600359,,,
3,118917,,,0.507469,,,
4,136263,,,0.440938,,,
5,153611,,,0.388887,,,
6,170957,,,0.345917,,,
7,188305,,,0.310398,,,
8,205652,,,0.282097,,,
9,222999,,,0.258291,,,
0,113901,,,,0.739433,,
1,132430,,,,0.616066,,
2,150959,,,,0.503731,,
3,169489,,,,0.425365,,
4,188018,,,,0.361646,,
5,206548,,,,0.316355,,
6,225078,,,,0.280223,,
7,243607,,,,0.251442,,
8,262138,,,,0.224156,,
9,280667,,,,0.206475,,
0,453377,,,,,0.100945,
0,556214,,,,,,0.0
