,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,185430,0.737077,,,,,
1,185430,0.737077,,,,,
2,193667,0.721072,,,,,
3,213313,0.687809,,,,,
4,286710,0.632824,,,,,
5,340384,0.557192,,,,,
6,413609,0.464228,,,,,
7,499328,0.364414,,,,,
8,594967,0.262827,,,,,
9,685346,0.174735,,,,,
10,762285,0.105965,,,,,
11,823182,0.0558048,,,,,
12,862994,0.025629,,,,,
13,886229,0.00921437,,,,,
14,895980,0.00268953,,,,,
0,194226,,0.722423,,,,
1,194226,,0.722423,,,,
2,203571,,0.704791,,,,
3,225151,,0.668355,,,,
4,299330,,0.613744,,,,
5,354545,,0.536266,,,,
6,427383,,0.445136,,,,
7,511888,,0.348023,,,,
8,603587,,0.252647,,,,
9,692384,,0.167113,,,,
10,768012,,0.100152,,,,
11,826754,,0.0524761,,,,
12,865002,,0.0239163,,,,
13,887036,,0.00858721,,,,
14,896272,,0.00249656,,,,
0,200952,,,0.709965,,,
1,200952,,,0.709965,,,
2,210958,,,0.691307,,,
3,270987,,,0.653605,,,
4,308452,,,0.59774,,,
5,362448,,,0.52312,,,
6,434082,,,0.434715,,,
7,517756,,,0.339496,,,
8,608347,,,0.246147,,,
9,694946,,,0.163869,,,
10,769650,,,0.0981499,,,
11,827920,,,0.0511976,,,
12,865843,,,0.0230239,,,
13,887369,,,0.00824951,,,
14,896322,,,0.00244832,,,
0,201633,,,,0.708783,,
1,201633,,,,0.708783,,
2,211644,,,,0.690101,,
3,271689,,,,0.652399,,
4,309188,,,,0.59651,,
5,363260,,,,0.521842,,
6,434999,,,,0.433341,,
7,518799,,,,0.337953,,
8,609572,,,,0.24447,,
9,696215,,,,0.162144,,
10,770294,,,,0.0973056,,
11,828155,,,,0.0509444,,
12,865930,,,,0.0229515,,
13,887384,,,,0.00823745,,
14,896341,,,,0.00243626,,
0,211393,,,,,0.729841,
0,904509,,,,,,0.0
