,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,185430,0.168822,,,,,
1,185430,0.168822,,,,,
2,193667,0.168822,,,,,
3,213313,0.168802,,,,,
4,286710,0.168552,,,,,
5,340384,0.168062,,,,,
6,413609,0.166902,,,,,
7,499328,0.164572,,,,,
8,594967,0.158101,,,,,
9,685346,0.1487,,,,,
10,762285,0.127599,,,,,
11,823182,0.0979469,,,,,
12,862994,0.0621343,,,,,
13,886229,0.0321823,,,,,
14,895980,0.013701,,,,,
0,194226,,0.159491,,,,
1,194226,,0.159491,,,,
2,203571,,0.159491,,,,
3,225151,,0.159471,,,,
4,299330,,0.159221,,,,
5,354545,,0.158731,,,,
6,427383,,0.157571,,,,
7,511888,,0.155241,,,,
8,603587,,0.14879,,,,
9,692384,,0.1394,,,,
10,768012,,0.118348,,,,
11,826754,,0.0902063,,,,
12,865002,,0.0560439,,,,
13,887036,,0.0299021,,,,
14,896272,,0.0118808,,,,
0,200952,,,0.158901,,,
1,200952,,,0.158901,,,
2,210958,,,0.158901,,,
3,270987,,,0.158881,,,
4,308452,,,0.158631,,,
5,362448,,,0.158141,,,
6,434082,,,0.156981,,,
7,517756,,,0.154661,,,
8,608347,,,0.14821,,,
9,694946,,,0.13882,,,
10,769650,,,0.117838,,,
11,827920,,,0.0897663,,,
12,865843,,,0.0557139,,,
13,887369,,,0.0297321,,,
14,896322,,,0.0118308,,,
0,201633,,,,0.158721,,
1,201633,,,,0.158721,,
2,211644,,,,0.158721,,
3,271689,,,,0.158701,,
4,309188,,,,0.158451,,
5,363260,,,,0.157961,,
6,434999,,,,0.156801,,
7,518799,,,,0.154481,,
8,609572,,,,0.14803,,
9,696215,,,,0.13864,,
10,770294,,,,0.117658,,
11,828155,,,,0.0895863,,
12,865930,,,,0.0556339,,
13,887384,,,,0.0297221,,
14,896341,,,,0.0118208,,
0,211393,,,,,0.158661,
0,904509,,,,,,0.0
