,Memory usage,Splash y=0.7,Splash y=0.8,Splash y=0.9,Splash y=1.0,SuRF Real,FST
0,1413579,2.0009e-05,,,,,
1,1283278,2.0009e-05,,,,,
2,1082221,0.000130059,,,,,
3,905113,0.000410185,,,,,
4,700765,0.00120054,,,,,
5,492415,0.00815367,,,,,
6,328255,0.0345856,,,,,
7,182390,0.15566,,,,,
8,164117,0.197269,,,,,
9,164117,0.197269,,,,,
10,164117,0.197269,,,,,
0,1413579,,2.0009e-05,,,,
1,1283278,,2.0009e-05,,,,
2,1082221,,0.000130059,,,,
3,905113,,0.000410185,,,,
4,700765,,0.00120054,,,,
5,492415,,0.00815367,,,,
6,328255,,0.0345856,,,,
7,182418,,0.15562,,,,
8,164210,,0.197129,,,,
9,164210,,0.197129,,,,
10,164210,,0.197129,,,,
0,1413579,,,2.0009e-05,,,
1,1283278,,,2.0009e-05,,,
2,1082221,,,0.000130059,,,
3,905113,,,0.000410185,,,
4,700765,,,0.00120054,,,
5,492415,,,0.00815367,,,
6,328255,,,0.0345856,,,
7,182421,,,0.15561,,,
8,164219,,,0.197109,,,
9,164219,,,0.197109,,,
10,164219,,,0.197109,,,
0,1413579,,,,2.0009e-05,,
1,1283278,,,,2.0009e-05,,
2,1082221,,,,0.000130059,,
3,905113,,,,0.000410185,,
4,700765,,,,0.00120054,,
5,492415,,,,0.00815367,,
6,328255,,,,0.0345856,,
7,182421,,,,0.15561,,
8,164219,,,,0.197109,,
9,164219,,,,0.197109,,
10,164219,,,,0.197109,,
0,164181,,,,,0.197269,
0,1413548,,,,,,0.0
