,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.0942963,
1,1.8446744071562068e+19,0.0942963,
2,1.8446744071562068e+19,0.0942963,
3,1.8446744071562068e+19,0.0942963,
4,1.8446744071562068e+19,0.0879489,
5,1.8446744071562068e+19,0.0844461,
6,1.8446744071562068e+19,0.0828174,
7,1.8446744071562068e+19,0.0818469,
8,1.8446744071562068e+19,0.0813337,
9,453377.0,,0.100945
10,465889.0,,0.100945
11,478385.0,,0.0982564
12,490881.0,,0.0982564
13,503385.0,,0.0921098
14,515889.0,,0.0886963
15,528385.0,,0.0871568
16,540881.0,,0.0862421
17,553385.0,,0.0857178
