,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.696758,
1,1.8446744071562068e+19,0.696758,
2,1.8446744071562068e+19,0.696758,
3,1.8446744071562068e+19,0.696758,
4,1.8446744071562068e+19,0.637661,
5,1.8446744071562068e+19,0.608196,
6,1.8446744071562068e+19,0.592518,
7,1.8446744071562068e+19,0.584003,
8,1.8446744071562068e+19,0.579842,
9,211393.0,,0.729841
10,223897.0,,0.729841
11,274040.0,,0.703705
12,286536.0,,0.703705
13,299040.0,,0.647104
14,311544.0,,0.619015
15,324040.0,,0.604023
16,336544.0,,0.596136
17,349040.0,,0.592252
