,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.158641,
1,1.8446744071562068e+19,0.158641,
2,1.8446744071562068e+19,0.158641,
3,1.8446744071562068e+19,0.158641,
4,1.8446744071562068e+19,0.0811457,
5,1.8446744071562068e+19,0.0438631,
6,1.8446744071562068e+19,0.0228516,
7,1.8446744071562068e+19,0.0116908,
8,1.8446744071562068e+19,0.00620043,
9,211393.0,,0.158661
10,223897.0,,0.158661
11,274040.0,,0.158651
12,286536.0,,0.158651
13,299040.0,,0.0811657
14,311544.0,,0.0439031
15,324040.0,,0.0228816
16,336544.0,,0.0117108
17,349040.0,,0.00622044
