,Memory usage,FPR Surfing Trie,FPR SuRFReal
0,1.8446744071562068e+19,0.196338,
1,1.8446744071562068e+19,0.196338,
2,1.8446744071562068e+19,0.196338,
3,1.8446744071562068e+19,0.196338,
4,1.8446744071562068e+19,0.100924,
5,1.8446744071562068e+19,0.0538122,
6,1.8446744071562068e+19,0.0283711,
7,1.8446744071562068e+19,0.0146706,
8,1.8446744071562068e+19,0.00780031,
9,164181.0,,0.196398
10,176685.0,,0.196398
11,189181.0,,0.196348
12,201685.0,,0.196348
13,214181.0,,0.100934
14,250648.0,,0.0538222
15,263152.0,,0.0284011
16,275648.0,,0.0147006
17,288152.0,,0.00783031
