,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,3852620,0.0,,,,,,,
1,3737717,0.0200908,,,,,,,
2,3626985,0.038196,,,,,,,
3,3521272,0.0539027,,,,,,,
4,3423461,0.0666644,,,,,,,
5,3337978,0.0764365,,,,,,,
6,3267560,0.0843345,,,,,,,
7,3214745,0.0890309,,,,,,,
8,3179121,0.0918979,,,,,,,
9,3158288,0.0931807,,,,,,,
10,3147493,0.0939393,,,,,,,
11,3143059,0.0941959,,,,,,,
12,3141535,0.094274,,,,,,,
13,3141079,0.0942851,,,,,,,
14,3140933,0.0942851,,,,,,,
15,3140878,0.0942963,,,,,,,
0,3852620,,0.0,,,,,,
1,3852352,,2.23107e-05,,,,,,
2,3738127,,0.01989,,,,,,
3,3655546,,0.0324286,,,,,,
4,3566176,,0.0463171,,,,,,
5,3485894,,0.0579186,,,,,,
6,3421709,,0.065917,,,,,,
7,3359376,,0.0737704,,,,,,
8,3297737,,0.0806867,,,,,,
9,3233433,,0.0868222,,,,,,
10,3184523,,0.0913736,,,,,,
11,3168472,,0.092556,,,,,,
12,3150861,,0.093772,,,,,,
13,3144464,,0.0940732,,,,,,
14,3142228,,0.0942405,,,,,,
15,3141106,,0.0942851,,,,,,
16,3140933,,0.0942963,,,,,,
17,3140878,,0.0942963,,,,,,
18,3140869,,0.0942963,,,,,,
19,3140869,,0.0942963,,,,,,
0,1600884,,,0.453755,,,,,
1,1600884,,,0.453755,,,,,
2,1603456,,,0.452975,,,,,
3,1613507,,,0.45071,,,,,
4,1637267,,,0.446159,,,,,
5,1779034,,,0.412949,,,,,
6,1995340,,,0.365249,,,,,
7,2284709,,,0.305166,,,,,
8,2612823,,,0.242529,,,,,
9,3068169,,,0.146604,,,,,
10,3418757,,,0.0776078,,,,,
11,3648263,,,0.0356637,,,,,
12,3768037,,,0.0146693,,,,,
13,3825393,,,0.00451792,,,,,
14,3845907,,,0.00100398,,,,,
15,3850721,,,0.000267729,,,,,
0,3852620,,,,0.0,,,,
1,3850668,,,,0.000211952,,,,
2,3735902,,,,0.0202693,,,,
3,3639960,,,,0.0353402,,,,
4,3529765,,,,0.0524637,,,,
5,3003484,,,,0.162712,,,,
6,2647814,,,,0.242596,,,,
7,2455714,,,,0.282487,,,,
8,2296309,,,,0.310543,,,,
9,1992099,,,,0.372913,,,,
10,1725307,,,,0.432761,,,,
11,1669763,,,,0.443448,,,,
12,1622049,,,,0.451022,,,,
13,1607136,,,,0.452952,,,,
14,1602865,,,,0.453521,,,,
15,1601085,,,,0.453733,,,,
16,1600921,,,,0.453755,,,,
17,1600884,,,,0.453755,,,,
18,1600884,,,,0.453755,,,,
19,1600884,,,,0.453755,,,,
0,3140954,,,,,0.0942963,,,
1,3141937,,,,,0.0938947,,,
2,3142928,,,,,0.0931026,,,
3,3143919,,,,,0.0921321,,,
4,3144911,,,,,0.0912062,,,
5,3145903,,,,,0.0898453,,,
0,1600884,,,,,,0.453755,,
1,2199782,,,,,,0.294769,,
2,2960265,,,,,,0.126546,,
3,3140777,,,,,,0.0943074,,
0,3140869,,,,,,,0.0942963,
0,30820909,,,,,,,,0.0
