,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,3852620,0.0,,,,,,,
1,3737717,0.0,,,,,,,
2,3626985,0.0,,,,,,,
3,3521272,0.0,,,,,,,
4,3423461,0.0,,,,,,,
5,3337978,1.00003e-05,,,,,,,
6,3267560,7.00021e-05,,,,,,,
7,3214745,0.000120004,,,,,,,
8,3179121,0.000200006,,,,,,,
9,3158288,0.000220007,,,,,,,
10,3147493,0.000360011,,,,,,,
11,3143059,0.000540016,,,,,,,
12,3141535,0.000690021,,,,,,,
13,3141079,0.000850026,,,,,,,
14,3140933,0.000960029,,,,,,,
15,3140878,0.00242007,,,,,,,
0,3852620,,0.0,,,,,,
1,3852352,,0.0,,,,,,
2,3738127,,0.0,,,,,,
3,3655546,,0.0,,,,,,
4,3566176,,0.0,,,,,,
5,3485894,,0.0,,,,,,
6,3421709,,0.0,,,,,,
7,3359376,,0.0,,,,,,
8,3297737,,0.0,,,,,,
9,3233433,,0.0,,,,,,
10,3184523,,0.0,,,,,,
11,3168472,,0.0,,,,,,
12,3150861,,1.00003e-05,,,,,,
13,3144464,,4.00012e-05,,,,,,
14,3142228,,0.000180005,,,,,,
15,3141106,,0.000440013,,,,,,
16,3140933,,0.000730022,,,,,,
17,3140878,,0.00101003,,,,,,
18,3140869,,0.00246007,,,,,,
19,3140869,,0.00246007,,,,,,
0,1600884,,,0.0120004,,,,,
1,1600884,,,0.0120004,,,,,
2,1603456,,,0.0120004,,,,,
3,1613507,,,0.0120004,,,,,
4,1637267,,,0.0120004,,,,,
5,1779034,,,0.0120004,,,,,
6,1995340,,,0.0120004,,,,,
7,2284709,,,0.0119304,,,,,
8,2612823,,,0.0118704,,,,,
9,3068169,,,0.0117104,,,,,
10,3418757,,,0.0113603,,,,,
11,3648263,,,0.0109603,,,,,
12,3768037,,,0.00896027,,,,,
13,3825393,,,0.0067802,,,,,
14,3845907,,,0.00475014,,,,,
15,3850721,,,0.0033101,,,,,
0,3852620,,,,0.0,,,,
1,3850668,,,,0.0,,,,
2,3735902,,,,0.0,,,,
3,3639960,,,,0.0,,,,
4,3529765,,,,0.0,,,,
5,3003484,,,,0.0,,,,
6,2647814,,,,0.0,,,,
7,2455714,,,,0.0,,,,
8,2296309,,,,0.0,,,,
9,1992099,,,,0.0,,,,
10,1725307,,,,1.00003e-05,,,,
11,1669763,,,,1.00003e-05,,,,
12,1622049,,,,0.000130004,,,,
13,1607136,,,,0.000370011,,,,
14,1602865,,,,0.00108003,,,,
15,1601085,,,,0.00254008,,,,
16,1600921,,,,0.00631019,,,,
17,1600884,,,,0.0120004,,,,
18,1600884,,,,0.0120004,,,,
19,1600884,,,,0.0120004,,,,
0,3140954,,,,,0.00246007,,,
1,3141937,,,,,3.00009e-05,,,
2,3142928,,,,,0.0,,,
3,3143919,,,,,2.00006e-05,,,
4,3144911,,,,,0.0,,,
5,3145903,,,,,0.0,,,
0,1600884,,,,,,0.0120004,,
1,2199782,,,,,,0.0100903,,
2,2960265,,,,,,0.00933028,,
3,3140777,,,,,,0.00246007,,
0,3140869,,,,,,,0.00246007,
0,30820909,,,,,,,,0.0
