,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,5978909,0.0,,,,,,,
1,5149869,0.0389806,,,,,,,
2,4402741,0.0689093,,,,,,,
3,3732172,0.10391,,,,,,,
4,3146402,0.141355,,,,,,,
5,2652302,0.180366,,,,,,,
6,2255903,0.217811,,,,,,,
7,1954905,0.250863,,,,,,,
8,1742521,0.279184,,,,,,,
9,1604441,0.300875,,,,,,,
10,1522809,0.315402,,,,,,,
11,1480807,0.324711,,,,,,,
12,1462155,0.328917,,,,,,,
13,1455613,0.33068,,,,,,,
14,1453651,0.33135,,,,,,,
15,1453231,0.331639,,,,,,,
0,5978909,,0.0,,,,,,
1,5977883,,0.000237121,,,,,,
2,5164038,,0.0370218,,,,,,
3,4691113,,0.0524655,,,,,,
4,4130625,,0.0770333,,,,,,
5,3654026,,0.101879,,,,,,
6,3300825,,0.122272,,,,,,
7,2942760,,0.147633,,,,,,
8,2612571,,0.174088,,,,,,
9,2277629,,0.204419,,,,,,
10,1942304,,0.244348,,,,,,
11,1814727,,0.261936,,,,,,
12,1656025,,0.286885,,,,,,
13,1564045,,0.303721,,,,,,
14,1507178,,0.315762,,,,,,
15,1468287,,0.325546,,,,,,
16,1455996,,0.329876,,,,,,
17,1453277,,0.331454,,,,,,
18,1453140,,0.33167,,,,,,
19,1453140,,0.33167,,,,,,
0,1360498,,,0.360671,,,,,
1,1360498,,,0.360671,,,,,
2,1426035,,,0.34231,,,,,
3,1576122,,,0.316969,,,,,
4,1829892,,,0.284225,,,,,
5,2212861,,,0.242832,,,,,
6,2717807,,,0.198295,,,,,
7,3303256,,,0.154531,,,,,
8,3937804,,,0.113849,,,,,
9,4552177,,,0.0764869,,,,,
10,5073822,,,0.0465891,,,,,
11,5478128,,,0.0259286,,,,,
12,5739171,,,0.0117633,,,,,
13,5888845,,,0.00448467,,,,,
14,5950458,,,0.00144334,,,,,
15,5972516,,,0.000484551,,,,,
0,5978909,,,,0.0,,,,
1,5972878,,,,0.00114437,,,,
2,5142420,,,,0.0418363,,,,
3,4545241,,,,0.0638886,,,,
4,3954214,,,,0.093673,,,,
5,3451587,,,,0.12455,,,,
6,3067412,,,,0.151664,,,,
7,2706591,,,,0.180696,,,,
8,2367342,,,,0.210873,,,,
9,2021566,,,,0.247925,,,,
10,1728706,,,,0.288514,,,,
11,1621410,,,,0.305659,,,,
12,1484273,,,,0.330021,,,,
13,1415921,,,,0.344196,,,,
14,1382279,,,,0.352815,,,,
15,1363373,,,,0.35897,,,,
16,1360590,,,,0.360527,,,,
17,1360498,,,,0.360671,,,,
18,1360498,,,,0.360671,,,,
19,1360498,,,,0.360671,,,,
0,1453246,,,,,0.33167,,,
1,1460497,,,,,0.31867,,,
2,1467757,,,,,0.302205,,,
3,1475013,,,,,0.283607,,,
4,1482274,,,,,0.26307,,,
5,1489532,,,,,0.239904,,,
0,1360498,,,,,,0.360671,,
1,1391686,,,,,,0.351918,,
2,1409772,,,,,,0.346908,,
3,1412290,,,,,,0.346289,,
0,1453140,,,,,,,0.33167,
0,47831223,,,,,,,,0.0
