,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,9635434,0.0,,,,,,,
1,8710591,0.00011005,,,,,,,
2,7798921,0.000390176,,,,,,,
3,6889068,0.00108049,,,,,,,
4,5983859,0.00300135,,,,,,,
5,5090010,0.00764344,,,,,,,
6,4221237,0.0161373,,,,,,,
7,3400918,0.0323846,,,,,,,
8,2666921,0.0580261,,,,,,,
9,2061578,0.0923215,,,,,,,
10,1619435,0.129198,,,,,,,
11,1347629,0.162603,,,,,,,
12,1215079,0.183553,,,,,,,
13,1167282,0.193667,,,,,,,
14,1155958,0.196288,,,,,,,
15,1154151,0.197049,,,,,,,
0,9635434,,0.0,,,,,,
1,9635212,,0.0,,,,,,
2,8745365,,0.0,,,,,,
3,8234974,,1.00045e-05,,,,,,
4,7531176,,0.00011005,,,,,,
5,6893128,,0.00011005,,,,,,
6,6388936,,0.000160072,,,,,,
7,5826206,,0.000390176,,,,,,
8,5252608,,0.000430194,,,,,,
9,4590106,,0.00118053,,,,,,
10,3705665,,0.00338152,,,,,,
11,3273040,,0.00404182,,,,,,
12,2626589,,0.0167976,,,,,,
13,2079490,,0.0341854,,,,,,
14,1596184,,0.091161,,,,,,
15,1201026,,0.173158,,,,,,
16,1154434,,0.193937,,,,,,
17,1153950,,0.197089,,,,,,
18,1153950,,0.197089,,,,,,
19,1153950,,0.197089,,,,,,
0,1153860,,,0.197109,,,,,
1,1153860,,,0.197109,,,,,
2,1154535,,,0.197009,,,,,
3,1158155,,,0.196779,,,,,
4,1172152,,,0.196068,,,,,
5,1217750,,,0.194217,,,,,
6,1343471,,,0.189885,,,,,
7,1634858,,,0.181582,,,,,
8,2240298,,,0.165825,,,,,
9,3271141,,,0.140303,,,,,
10,4742264,,,0.106068,,,,,
11,6447980,,,0.0691311,,,,,
12,7981710,,,0.0352459,,,,,
13,8999934,,,0.0138963,,,,,
14,9474578,,,0.00349157,,,,,
15,9608107,,,0.000810365,,,,,
0,9635434,,,,0.0,,,,
1,9633205,,,,0.0,,,,
2,8722554,,,,0.0,,,,
3,8070048,,,,1.00045e-05,,,,
4,7332908,,,,0.00011005,,,,
5,6660222,,,,0.000160072,,,,
6,6108880,,,,0.000390176,,,,
7,5520436,,,,0.000430194,,,,
8,4894571,,,,0.00106048,,,,
9,4149624,,,,0.00297134,,,,
10,3256606,,,,0.00813366,,,,
11,2821663,,,,0.0167775,,,,
12,2121967,,,,0.0345656,,,,
13,1596376,,,,0.091161,,,,
14,1277813,,,,0.15561,,,,
15,1154517,,,,0.193917,,,,
16,1153860,,,,0.197109,,,,
17,1153860,,,,0.197109,,,,
18,1153860,,,,0.197109,,,,
19,1153860,,,,0.197109,,,,
0,1154047,,,,,0.197089,,,
1,1179970,,,,,0.176439,,,
2,1205892,,,,,0.147967,,,
3,1231812,,,,,0.107168,,,
4,1257739,,,,,0.0767745,,,
5,1283656,,,,,0.0545345,,,
0,1153860,,,,,,0.197109,,
1,1153941,,,,,,0.197089,,
2,1153941,,,,,,0.197089,,
3,1153941,,,,,,0.197089,,
0,1153950,,,,,,,0.197089,
0,77083418,,,,,,,,0.0
