,Memory usage,Absolutely Restrained Surfing Trie,Relatively Restrained Surfing Trie,Absolutely Restrained Splashy Trie,Relatively Restrained Splashy Trie,Bloomed Surfing Trie,Splashy Trie,Surfing Trie,Trie
0,9635434,0.0,,,,,,,
1,8710591,5.0002e-05,,,,,,,
2,7798921,0.000370015,,,,,,,
3,6889068,0.00117005,,,,,,,
4,5983859,0.00303012,,,,,,,
5,5090010,0.0074203,,,,,,,
6,4221237,0.0162507,,,,,,,
7,3400918,0.0323613,,,,,,,
8,2666921,0.0567623,,,,,,,
9,2061578,0.0904236,,,,,,,
10,1619435,0.128645,,,,,,,
11,1347629,0.162116,,,,,,,
12,1215079,0.183517,,,,,,,
13,1167282,0.193048,,,,,,,
14,1155958,0.195668,,,,,,,
15,1154151,0.196318,,,,,,,
0,9635434,,0.0,,,,,,
1,9635212,,0.0,,,,,,
2,8745365,,0.0,,,,,,
3,8234974,,0.0,,,,,,
4,7531176,,5.0002e-05,,,,,,
5,6893128,,5.0002e-05,,,,,,
6,6388936,,7.00028e-05,,,,,,
7,5826206,,0.000370015,,,,,,
8,5252608,,0.000450018,,,,,,
9,4590106,,0.00135005,,,,,,
10,3705665,,0.00353014,,,,,,
11,3273040,,0.00427017,,,,,,
12,2626589,,0.0170807,,,,,,
13,2079490,,0.0344714,,,,,,
14,1596184,,0.0888636,,,,,,
15,1201026,,0.173237,,,,,,
16,1154434,,0.193548,,,,,,
17,1153950,,0.196338,,,,,,
18,1153950,,0.196338,,,,,,
19,1153950,,0.196338,,,,,,
0,1153860,,,0.196348,,,,,
1,1153860,,,0.196348,,,,,
2,1154535,,,0.196308,,,,,
3,1158155,,,0.195998,,,,,
4,1172152,,,0.195238,,,,,
5,1217750,,,0.193548,,,,,
6,1343471,,,0.189338,,,,,
7,1634858,,,0.180787,,,,,
8,2240298,,,0.165127,,,,,
9,3271141,,,0.140936,,,,,
10,4742264,,,0.107374,,,,,
11,6447980,,,0.0689628,,,,,
12,7981710,,,0.0350014,,,,,
13,8999934,,,0.0133505,,,,,
14,9474578,,,0.00343014,,,,,
15,9608107,,,0.000700028,,,,,
0,9635434,,,,0.0,,,,
1,9633205,,,,0.0,,,,
2,8722554,,,,0.0,,,,
3,8070048,,,,2.00008e-05,,,,
4,7332908,,,,5.0002e-05,,,,
5,6660222,,,,7.00028e-05,,,,
6,6108880,,,,0.000370015,,,,
7,5520436,,,,0.000450018,,,,
8,4894571,,,,0.00112004,,,,
9,4149624,,,,0.00300012,,,,
10,3256606,,,,0.00806032,,,,
11,2821663,,,,0.0170307,,,,
12,2121967,,,,0.0347714,,,,
13,1596376,,,,0.0888636,,,,
14,1277813,,,,0.155226,,,,
15,1154517,,,,0.193538,,,,
16,1153860,,,,0.196348,,,,
17,1153860,,,,0.196348,,,,
18,1153860,,,,0.196348,,,,
19,1153860,,,,0.196348,,,,
0,1154047,,,,,0.196338,,,
1,1179970,,,,,0.163327,,,
2,1205892,,,,,0.105544,,,
3,1231812,,,,,0.049372,,,
4,1257739,,,,,0.0217309,,,
5,1283656,,,,,0.00951038,,,
0,1153860,,,,,,0.196348,,
1,1153941,,,,,,0.196338,,
2,1153941,,,,,,0.196338,,
3,1153941,,,,,,0.196338,,
0,1153950,,,,,,,0.196338,
0,77083418,,,,,,,,0.0
